Timestamp,Accelerometer,Encoder,Potentiometer,Pushbutton,Switch
116450,358,741,487,0,0
116549,358,741,487,0,0
116614,358,741,487,0,0
116679,357,741,487,0,0
116745,356,741,487,0,0
116811,358,741,487,0,0
116909,357,741,487,0,0
116975,359,741,487,0,0
117043,361,741,487,0,0
117109,362,741,487,0,0
117174,371,741,487,0,0
117272,377,741,487,0,0
117339,369,741,487,0,0
117405,355,741,487,0,0
117471,335,741,487,0,0
117536,319,741,487,0,0
117634,335,741,487,0,0
117700,285,741,487,0,0
117765,268,741,487,0,0
117831,269,741,487,0,0
117905,275,741,487,0,0
117973,281,741,487,0,0
118072,281,741,487,0,0
118141,285,741,487,0,0
118206,289,741,487,0,0
118273,291,741,487,0,0
118338,293,741,487,0,0
118437,293,741,487,0,0
118503,294,741,487,0,0
118568,294,741,487,0,0
118634,294,741,487,0,0
118700,292,741,487,0,0
118766,292,741,487,0,0
118799,292,741,487,0,0
118865,296,741,487,0,0
118930,295,741,487,0,0
118996,294,741,487,0,0
119062,294,741,487,0,0
119161,293,741,487,0,0
119227,296,741,487,0,0
119293,295,741,487,0,0
119360,293,741,487,0,0
119425,292,741,487,0,0
119524,292,741,487,0,0
119590,292,741,487,0,0
119656,292,741,487,0,0
119722,295,741,487,0,0
119788,290,741,487,0,0
119886,288,741,487,0,0
119952,290,741,487,0,0
120018,290,741,487,0,0
120084,287,740,487,0,0
120150,292,739,487,0,0
120248,291,738,487,0,0
120314,298,737,487,0,0
120379,290,736,487,0,0
120445,288,734,487,0,0
120511,286,734,487,0,0
120609,283,734,487,0,0
120675,284,734,487,0,0
120741,285,734,487,0,0
120806,287,734,487,0,0
120873,289,734,487,0,0
120971,294,734,487,0,0
121037,291,734,487,0,0
121103,290,734,487,0,0
121169,286,734,487,0,0
121234,286,734,487,0,0
121267,286,734,487,0,0
121361,286,734,487,0,1
121455,290,734,487,0,1
121522,292,734,487,0,1
121587,290,734,487,0,1
121653,287,734,487,0,1
121719,285,734,487,0,1
121784,284,734,487,0,1
121850,281,734,487,0,1
121916,281,734,487,0,1
121981,287,734,487,0,1
122047,290,735,487,0,1
122113,293,736,487,0,1
122178,296,737,487,0,1
122277,287,738,487,0,1
122343,291,740,487,0,1
122410,287,742,487,0,1
122476,290,744,487,0,1
122542,28,745,487,0,1
122640,291,746,487,0,1
122706,291,749,487,0,1
122771,292,749,487,0,1
122837,291,752,487,0,1
122935,285,753,487,0,1
123001,287,755,487,0,1
123067,285,756,487,0,1
123132,285,757,487,0,1
123198,286,758,487,0,1
123297,274,758,487,0,1
123363,289,759,487,0,1
123429,286,762,487,0,1
123495,292,764,487,0,1
123560,289,766,487,0,1
123658,292,768,487,0,1
123724,287,772,487,0,1
123791,281,774,487,0,1
123857,277,775,487,0,1
123924,294,775,487,0,1
124023,284,778,487,0,1
124088,292,779,487,0,1
124154,296,779,487,0,1
124219,295,779,487,0,1
124285,291,782,487,0,1
